Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
43,23.496477127075195,9.982794761657715,69.99119567871094,-7.406044604655241,-8.380156732508224,88.77053076357822,-14.386148,19.70614,-22.564875,84.84445,-22.138292,-15.000033,-0.7933956,1.1423417,2.3495421,66.04507,-44.886486,6.4896784,2.2956035,-0.6427709,6.21806,19.698635,38.499416,21.947569,21.823362,-43.775574,-3.4212506,45.488613,25.399933,-20.25848,-37.83577,4.3250504,42.234333,-4.1059923,-39.72129
44,22.61236000061035,10.277650833129883,70.82954406738281,-6.449353679011878,-7.776374771826859,89.77309174084444,-13.12736,19.623793,-19.028387,79.71321,-24.059942,-15.000033,-0.024266414,-1.3645957,2.0959795,63.368244,-43.388317,9.049142,2.8300116,-0.27291864,7.083576,15.616684,41.55595,35.781956,3.521099,-32.752796,-1.86738,49.942154,24.06984,-22.681211,-50.54629,-17.247646,29.157387,-0.7026476,-39.85768
45,21.62779998779297,10.673147201538086,72.82228088378906,-5.453634579117187,-7.81474591552972,91.10058785076697,-11.098519,19.780144,-15.664857,72.09135,-22.017544,-15.000033,2.7243853,-4.526301,1.0954827,56.817043,-39.87613,10.97908,3.1326883,0.26335955,6.836441,9.032508,45.085022,46.358406,-11.352133,-23.808779,-0.9032131,50.36443,20.068651,-25.995605,-60.935585,-36.711857,23.250473,1.0397896,-39.83222
46,20.576190948486328,11.172652244567871,75.01669311523438,-2.330367461849429,-5.239179330888907,92.21941389699428,-4.7789283,17.079445,-10.677913,57.19436,-24.81552,-15.000033,5.4319615,-12.004678,-3.431366,47.05148,-33.781803,13.6436615,4.1386642,-0.77065176,5.1187696,-1.1867908,49.39939,47.19215,-28.373734,-9.815356,-2.8539345,42.147106,15.525794,-30.511007,-65.101974,-56.003773,15.376114,-3.2020872,-36.99327
47,19.555313110351562,11.596857070922852,76.46553802490234,-0.7339401400648659,-3.0526103616438793,92.37924705882166,-0.12867093,16.048243,-7.9457073,45.697803,-22.88597,-15.000033,7.586182,-15.253367,-5.9769583,38.993618,-28.838535,15.000033,4.242477,-2.067771,2.8634188,-11.111201,53.73153,39.353592,-36.57979,-2.1594958,-4.5680194,36.504944,7.899349,-36.992,-56.89673,-60.000134,7.210778,-6.3439736,-29.567963
48,18.571138381958008,11.818865776062012,77.10618591308594,-0.28999019154905803,-1.1230277635357542,91.67623711970906,3.173792,14.894279,-7.622922,37.72031,-20.611559,-15.000033,8.788912,-16.26715,-6.838378,33.011177,-24.936325,15.000033,3.35062,-2.0646138,-0.16459146,-23.624218,56.983646,22.885674,-38.253136,4.4588513,-5.7588286,32.151535,-1.9742401,-43.503788,-35.90642,-60.000134,-0.8932125,-6.934833,-22.203249
49,17.616512298583984,11.741604804992676,77.24748992919922,0.556819240735613,0.5570239976736829,90.1927975587584,4.3196917,12.7700615,-8.198958,35.05735,-19.687536,-15.000033,9.045084,-17.97167,-7.10956,28.981106,-22.50678,15.000033,1.7899619,-1.1303073,-1.7216893,-21.080887,55.0066,3.3683517,-45.966694,9.66362,-7.8825884,29.074915,-8.918704,-44.51397,-5.3439,-56.666264,-5.284224,-9.38441,-15.596628
50,16.63213348388672,11.296467781066895,77.08529663085938,-0.2718982142094045,-1.8283562045573376,87.21487327622373,5.1243725,11.5699215,-8.579233,38.615623,-23.008215,-15.000033,8.731937,-18.517794,-5.2912292,32.042946,-23.454153,15.000033,2.194168,1.2995431,1.0429472,-0.118186384,50.3471,-7.702817,-59.094173,16.007679,-6.8003793,24.849266,5.292251,-41.55362,11.559518,-60.000134,-10.9446125,-8.481827,-11.505471
51,15.675880432128906,10.598769187927246,77.00148010253906,-0.15413677699952447,-4.401964821134475,83.25418270298758,5.5177794,11.167323,-5.4286795,42.81513,-28.440128,-15.000033,6.995251,-19.85464,-2.0756617,35.899227,-23.99565,15.000033,2.0361173,3.2008245,3.39819,13.311541,46.54644,-16.215101,-58.00518,20.572495,-4.4117465,17.302185,17.649239,-39.56547,18.829494,-49.90493,-13.517206,-5.4637237,-7.3003592
52,14.694446563720703,9.782125473022461,76.15443420410156,1.5647045237907653,-8.211249968159422,78.57783056569518,5.2684164,7.9130793,-3.6653218,51.664185,-35.173344,-11.462922,3.3407958,-23.03881,2.3236237,44.410248,-24.986137,15.000033,1.9013762,4.6156664,3.342934,18.54873,41.725014,-21.201572,-37.48152,23.832579,1.6358845,12.507703,21.263733,-36.86434,22.197083,-19.381617,-16.674103,1.3927461,-6.745273
